season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
2025,NBA,Deandre Ayton,aytonde01,26.0,POR,C,40,40.0,1206,7.9,14.0,0.566,0.2,1.0,0.188,7.7,13.0,0.594,0.573,1.2,1.8,0.667,3.7,8.4,12.1,1.9,0.9,1.2,2.1,2.6,17.2
2007,NBA,Kelenna Azubuike,azubuke01,23.0,GSW,SG,41,9.0,669,5.3,11.8,0.445,1.8,4.3,0.43,3.4,7.6,0.454,0.523,3.3,4.2,0.782,1.4,3.7,5.1,1.5,1.2,0.5,2.1,2.6,15.7
2008,NBA,Kelenna Azubuike,azubuke01,24.0,GSW,SG,81,17.0,1732,5.4,12.2,0.445,1.5,4.1,0.364,3.9,8.1,0.485,0.505,2.1,2.9,0.717,2.2,4.5,6.7,1.6,0.9,0.7,1.2,3.3,14.4
2009,NBA,Kelenna Azubuike,azubuke01,25.0,GSW,SF,74,51.0,2375,5.9,12.8,0.464,1.4,3.2,0.448,4.5,9.6,0.469,0.52,2.8,3.5,0.808,1.7,3.9,5.6,1.8,0.9,0.8,1.4,2.8,16.1
2010,NBA,Kelenna Azubuike,azubuke01,26.0,GSW,SF,9,7.0,231,7.5,13.7,0.545,1.6,4.2,0.37,5.9,9.5,0.623,0.602,3.0,4.4,0.679,1.9,4.5,6.4,1.6,0.8,1.4,1.1,2.5,19.5
2012,NBA,Kelenna Azubuike,azubuke01,28.0,DAL,SG,3,0.0,18,6.0,16.0,0.375,2.0,6.0,0.333,4.0,10.0,0.4,0.438,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,8.0,2.0,14.0
2021,NBA,Udoka Azubuike,azubuud01,21.0,UTA,C,15,0.0,57,2.5,5.7,0.444,0.0,0.0,,2.5,5.7,0.444,0.444,5.1,6.3,0.8,2.5,5.7,8.2,0.0,0.6,2.5,1.9,5.7,10.1
2022,NBA,Udoka Azubuike,azubuud01,22.0,UTA,C,17,6.0,195,6.8,9.0,0.755,0.0,0.0,,6.8,9.0,0.755,0.755,1.1,2.0,0.545,3.3,9.8,13.1,0.0,0.2,2.0,2.2,4.6,14.8
2023,NBA,Udoka Azubuike,azubuud01,23.0,UTA,C,36,4.0,359,5.9,7.2,0.819,0.0,0.0,,5.9,7.2,0.819,0.819,0.7,2.0,0.35,3.1,8.8,11.9,1.1,0.6,1.5,1.8,3.4,12.5
2024,NBA,Udoka Azubuike,azubuud01,24.0,PHO,C,16,0.0,113,5.1,7.3,0.696,0.0,0.0,,5.1,7.3,0.696,0.696,1.0,4.1,0.231,3.5,6.7,10.2,1.0,0.3,1.9,1.3,5.4,11.2
